ddd,Step,Value
,0,0.092500001
,50,0.106799997
,100,0.1373
,150,0.165899992
,200,0.177699998
,250,0.201799989
,300,0.214499995
,350,0.233199999
,400,0.245399997
,450,0.259499997
,500,0.268000007
,550,0.269400001
,600,0.277500004
,650,0.261599988
,700,0.278799981
,750,0.286799997
,800,0.303200006
,850,0.299600005
,900,0.310699999
,950,0.317099988
,1000,0.310900003
,1050,0.324900001
,1100,0.331900001
,1150,0.331
,1200,0.321700007
,1250,0.335099995
,1300,0.341099977
,1350,0.345599979
,1400,0.346899986
,1450,0.362299979
,1500,0.356700003
,1550,0.361900002
,1600,0.361999989
,1650,0.369899988
,1700,0.377199978
,1750,0.380799979
,1800,0.381099999
,1850,0.385399997
,1900,0.384599984
,1950,0.387199998
,2000,0.387799978
,2050,0.391299993
,2100,0.394099981
,2150,0.396899998
,2200,0.395599991
,2250,0.396799982
,2300,0.402999997
,2350,0.390199989
,2400,0.404100001
,2450,0.409199983
,2500,0.404599994
,2550,0.408099979
,2600,0.410599977
,2650,0.411199987
,2700,0.417799979
,2750,0.413499981
,2800,0.421199977
,2850,0.415600002
,2900,0.422600001
,2950,0.423799992
,3000,0.421199977
,3050,0.420399994
,3100,0.42719999
,3150,0.430199981
,3200,0.422499985
,3250,0.4366
,3300,0.440699995
,3350,0.441100001
,3400,0.435599983
,3450,0.443399996
,3500,0.437399983
,3550,0.445299983
,3600,0.443899989
,3650,0.444799989
,3700,0.445499986
,3750,0.45389998
,3800,0.457999974
,3850,0.455599993
,3900,0.457099974
,3950,0.460500002
,4000,0.459600002
,4050,0.456199974
,4100,0.45479998
,4150,0.463999987
,4200,0.461199999
,4250,0.474999994
,4300,0.46359998
,4350,0.468499988
,4400,0.466999978
,4450,0.469499975
,4500,0.475599974
,4550,0.466099977
,4600,0.473399997
,4650,0.468599975
,4700,0.477099985
,4750,0.472199976
,4800,0.478299975
,4850,0.480699986
,4900,0.469099998
,4950,0.478599995
,5000,0.476599991
,5050,0.485399991
,5100,0.48089999
,5150,0.484599978
,5200,0.481299996
,5250,0.483699977
,5300,0.483399987
,5350,0.485699981
,5400,0.483099997
,5450,0.483799994
,5500,0.486399978
,5550,0.493799984
,5600,0.488599986
,5650,0.497499973
,5700,0.487800002
,5750,0.491599977
,5800,0.493199974
,5850,0.489799976
,5900,0.492899984
,5950,0.496099979
,6000,0.495299995
,6050,0.496699989
,6100,0.493599981
,6150,0.495999992
,6200,0.501199961
,6250,0.497199982
,6300,0.500199974
,6350,0.498699993
,6400,0.496399999
,6450,0.505400002
,6500,0.503199995
,6550,0.495999992
,6600,0.506699979
,6650,0.504899979
,6700,0.498099983
,6750,0.50729996
,6800,0.497399986
,6850,0.508599997
,6900,0.505999982
,6950,0.504499972
,7000,0.513599992
,7050,0.504599988
,7100,0.505599976
,7150,0.510899961
,7200,0.512300014
,7250,0.513700008
,7300,0.519299984
,7350,0.514400005
,7400,0.511099994
,7450,0.514400005
,7500,0.513599992
,7550,0.516200006
,7600,0.514100015
,7650,0.515799999
,7700,0.516099989
,7750,0.512099981
,7800,0.518799961
,7850,0.50940001
,7900,0.523099959
,7950,0.519400001
,8000,0.515100002
,8050,0.522399962
,8100,0.515500009
,8150,0.523099959
,8200,0.524699986
,8250,0.52609998
,8300,0.521399975
,8350,0.524299979
,8400,0.525200009
,8450,0.52639997
,8500,0.519999981
,8550,0.526499987
,8600,0.528100014
,8650,0.530999959
,8700,0.531599998
,8750,0.530900002
,8800,0.530600011
,8850,0.521499991
,8900,0.520099998
,8950,0.529100001
,9000,0.528699994
,9050,0.530600011
,9100,0.530499995
,9150,0.533399999
,9200,0.527499974
,9250,0.53609997
,9300,0.529699981
,9350,0.526300013
,9400,0.533399999
,9450,0.532700002
,9500,0.532400012
,9550,0.532199979
,9600,0.536899984
,9650,0.533699989
,9700,0.538399994
,9750,0.538100004
,9800,0.535600007
,9850,0.533199966
,9900,0.537
,9950,0.53579998
,10000,0.538100004
,10050,0.536599994
,10100,0.53429997
,10150,0.541199982
,10200,0.541499972
,10250,0.537099957
,10300,0.53609997
,10350,0.539799988
,10400,0.539999962
,10450,0.541999996
,10500,0.540399969
,10550,0.543099999
,10600,0.538500011
,10650,0.538100004
,10700,0.544200003
,10750,0.542699993
,10800,0.547299981
,10850,0.543799996
,10900,0.542199969
,10950,0.541199982
,11000,0.546799958
,11050,0.544499993
,11100,0.547500014
,11150,0.542800009
,11200,0.54519999
,11250,0.538899958
,11300,0.547299981
,11350,0.5449
,11400,0.54549998
,11450,0.547899961
,11500,0.543500006
,11550,0.538100004
,11600,0.547399998
,11650,0.549600005
,11700,0.536799967
,11750,0.547299981
,11800,0.547800004
,11850,0.548799992
,11900,0.547500014
,11950,0.548099995
,12000,0.548900008
,12050,0.55219996
,12100,0.548399985
,12150,0.548099995
,12200,0.551199973
,12250,0.553299963
,12300,0.549300015
,12350,0.550199986
,12400,0.552399993
,12450,0.548799992
,12500,0.554799974
,12550,0.55339998
,12600,0.550300002
,12650,0.553499997
,12700,0.554899991
,12750,0.554099977
,12800,0.556199968
,12850,0.55399996
,12900,0.553499997
,12950,0.546799958
,13000,0.557599962
,13050,0.551499963
,13100,0.554499984
,13150,0.556299984
,13200,0.557500005
,13250,0.553299963
,13300,0.556899965
,13350,0.550899982
,13400,0.551499963
,13450,0.553299963
,13500,0.556899965
,13550,0.552999973
,13600,0.558099985
,13650,0.556800008
,13700,0.560000002
,13750,0.559099972
,13800,0.55369997
,13850,0.558899999
,13900,0.556199968
,13950,0.560099959
,14000,0.558699965
,14050,0.557900012
,14100,0.560199976
,14150,0.560599983
,14200,0.561800003
,14250,0.555799961
,14300,0.558299959
,14350,0.56129998
,14400,0.560400009
,14450,0.556299984
,14500,0.560499966
,14550,0.559399962
,14600,0.561699986
,14650,0.557900012
,14700,0.560899973
,14750,0.562599957
,14800,0.559799969
,14850,0.565999985
,14900,0.562999964
,14950,0.556800008
,15000,0.565699995
,15050,0.564499974
,15100,0.555899978
,15150,0.559899986
,15200,0.563799977
,15250,0.562599957
,15300,0.56159997
,15350,0.559399962
,15400,0.564599991
,15450,0.566399992
,15500,0.564099967
,15550,0.563799977
,15600,0.561699986
,15650,0.56129998
,15700,0.565499961
,15750,0.564099967
,15800,0.561999977
,15850,0.566399992
,15900,0.566100001
,15950,0.563600004
,16000,0.565599978
,16050,0.568399966
,16100,0.565499961
,16150,0.568699956
,16200,0.561999977
,16250,0.571999967
,16300,0.565899968
,16350,0.5625
,16400,0.569899976
,16450,0.569099963
,16500,0.564799964
,16550,0.568799973
,16600,0.565699995
,16650,0.57129997
,16700,0.5704
,16750,0.568300009
,16800,0.565299988
,16850,0.568699956
,16900,0.567299962
,16950,0.568599999
,17000,0.571399987
,17050,0.569199979
,17100,0.567099988
,17150,0.568499982
,17200,0.57249999
,17250,0.570599973
,17300,0.571699977
,17350,0.569000006
,17400,0.567200005
,17450,0.571799994
,17500,0.568799973
,17550,0.567099988
,17600,0.567600012
,17650,0.568599999
,17700,0.568699956
,17750,0.571999967
,17800,0.575500011
,17850,0.568499982
,17900,0.57249999
,17950,0.572899997
,18000,0.574400008
,18050,0.573799968
,18100,0.572299957
,18150,0.573199987
,18200,0.575399995
,18250,0.567900002
,18300,0.576399982
,18350,0.573599994
,18400,0.569099963
,18450,0.569599986
,18500,0.574400008
,18550,0.570599973
,18600,0.57069999
,18650,0.573199987
,18700,0.574000001
,18750,0.575399995
,18800,0.573499978
,18850,0.576699972
,18900,0.574199975
,18950,0.575599968
,19000,0.573599994
,19050,0.573099971
,19100,0.573700011
,19150,0.570499957
,19200,0.575199962
,19250,0.575599968
,19300,0.576999962
,19350,0.575699985
,19400,0.57190001
,19450,0.577099979
,19500,0.576699972
,19550,0.573899984
,19600,0.574299991
,19650,0.573599994
,19700,0.575500011
,19750,0.577499986
,19800,0.578700006
,19850,0.577399969
,19900,0.577600002
,19950,0.574899971
,20000,0.575500011
,20050,0.577300012
,20100,0.5801
,20150,0.578299999
,20200,0.57919997
,20250,0.574800014
,20300,0.575599968
,20350,0.57949996
,20400,0.57889998
,20450,0.576900005
,20500,0.579599977
,20550,0.580500007
,20600,0.579100013
,20650,0.576799989
,20700,0.578700006
,20750,0.581999958
,20800,0.578700006
,20850,0.576399982
,20900,0.58099997
,20950,0.577699959
,21000,0.57919997
,21050,0.581200004
,21100,0.578299999
,21150,0.579400003
,21200,0.577300012
,21250,0.580500007
,21300,0.580500007
,21350,0.581900001
,21400,0.577899992
,21450,0.574599981
,21500,0.58039999
,21550,0.5801
,21600,0.579400003
,21650,0.581900001
,21700,0.577300012
,21750,0.578399956
,21800,0.576499999
,21850,0.578299999
,21900,0.57980001
,21950,0.581399977
,22000,0.579599977
,22050,0.581299961
,22100,0.578000009
,22150,0.579699993
,22200,0.581099987
,22250,0.583899975
,22300,0.581299961
,22350,0.580500007
,22400,0.581099987
,22450,0.578700006
,22500,0.578399956
,22550,0.581299961
,22600,0.578799963
,22650,0.581099987
,22700,0.581099987
,22750,0.57949996
,22800,0.582700014
,22850,0.581499994
,22900,0.582300007
,22950,0.582599998
,23000,0.57919997
,23050,0.584599972
,23100,0.5801
,23150,0.580500007
,23200,0.5801
,23250,0.585299969
,23300,0.582899988
,23350,0.583099961
,23400,0.581999958
,23450,0.580799997
,23500,0.581799984
,23550,0.583299994
,23600,0.585799992
,23650,0.579100013
,23700,0.582700014
,23750,0.58039999
,23800,0.583099961
,23850,0.583799958
,23900,0.581399977
,23950,0.582799971
,24000,0.584199965
,24050,0.581999958
,24100,0.582199991
,24150,0.582499981
,24200,0.580599964
,24250,0.5801
,24300,0.581299961
,24350,0.581699967
,24400,0.585099995
,24450,0.582499981
,24500,0.585599959
,24550,0.582300007
,24600,0.582399964
,24650,0.584399998
,24700,0.584699988
,24750,0.586099982
,24800,0.585799992
,24850,0.578099966
,24900,0.582499981
,24950,0.580299973
,25000,0.583000004
,25050,0.584599972
,25100,0.583199978
,25150,0.582300007
,25200,0.585299969
,25250,0.584100008
,25300,0.583899975
,25350,0.583400011
,25400,0.584299982
,25450,0.584800005
,25500,0.585999966
,25550,0.58829999
,25600,0.583799958
,25650,0.583299994
,25700,0.581699967
,25750,0.583700001
,25800,0.587700009
,25850,0.585599959
,25900,0.578499973
,25950,0.584299982
,26000,0.584599972
,26050,0.582700014
,26100,0.585500002
,26150,0.585699975
,26200,0.583400011
,26250,0.583999991
,26300,0.582300007
,26350,0.585999966
,26400,0.583299994
,26450,0.587099969
,26500,0.583499968
,26550,0.585299969
,26600,0.584500015
,26650,0.587199986
,26700,0.583799958
,26750,0.585900009
,26800,0.584299982
,26850,0.585399985
,26900,0.587599993
,26950,0.58160001
,27000,0.584199965
,27050,0.584699988
,27100,0.584500015
,27150,0.587000012
,27200,0.583700001
,27250,0.58739996
,27300,0.584199965
,27350,0.583599985
,27400,0.584599972
,27450,0.584199965
,27500,0.589100003
,27550,0.585799992
,27600,0.582700014
,27650,0.587199986
,27700,0.586199999
,27750,0.586099982
,27800,0.590200007
,27850,0.585399985
,27900,0.585599959
,27950,0.588
,28000,0.585099995
,28050,0.582799971
,28100,0.586899996
,28150,0.587499976
,28200,0.585599959
,28250,0.586299956
,28300,0.588499963
,28350,0.585200012
,28400,0.587000012
,28450,0.587000012
,28500,0.583799958
,28550,0.586600006
,28600,0.583799958
,28650,0.586899996
,28700,0.586899996
,28750,0.585699975
,28800,0.58859998
,28850,0.586600006
,28900,0.585699975
,28950,0.585699975
,29000,0.587199986
,29050,0.587599993
,29100,0.587099969
,29150,0.587300003
,29200,0.588099957
,29250,0.584500015
,29300,0.587899983
,29350,0.585699975
,29400,0.588699996
,29450,0.588499963
,29500,0.586499989
,29550,0.587300003
,29600,0.584599972
,29650,0.587799966
,29700,0.587799966
,29750,0.588800013
,29800,0.587799966
,29850,0.585699975
,29900,0.588999987
,29950,0.586499989
,30000,0.588699996
,30050,0.587000012
,30100,0.586299956
,30150,0.583599985
,30200,0.5898
,30250,0.588499963
,30300,0.586299956
,30350,0.584399998
,30400,0.5898
,30450,0.588
,30500,0.585699975
,30550,0.587000012
,30600,0.588800013
,30650,0.588
,30700,0.588400006
,30750,0.584800005
,30800,0.587799966
,30850,0.58829999
,30900,0.584899962
,30950,0.587799966
,31000,0.590600014
,31050,0.584399998
,31100,0.585599959
,31150,0.587899983
,31200,0.588099957
,31250,0.587199986
,31300,0.587199986
,31350,0.587199986
,31400,0.587899983
,31450,0.586299956
,31500,0.587199986
,31550,0.587899983
,31600,0.587099969
,31650,0.586899996
,31700,0.586799979
,31750,0.586499989
,31800,0.589699984
,31850,0.587799966
,31900,0.588400006
,31950,0.588
,32000,0.587499976
,32050,0.589599967
,32100,0.586299956
,32150,0.589899957
,32200,0.58950001
,32250,0.58739996
,32300,0.588499963
,32350,0.590999961
,32400,0.588800013
,32450,0.58739996
,32500,0.58829999
,32550,0.588199973
,32600,0.589299977
,32650,0.589699984
,32700,0.587799966
,32750,0.589100003
,32800,0.5898
,32850,0.586099982
,32900,0.587700009
,32950,0.589699984
,33000,0.58919996
,33050,0.585999966
,33100,0.586099982
,33150,0.589399993
,33200,0.58919996
,33250,0.589100003
,33300,0.59009999
,33350,0.58950001
,33400,0.586199999
,33450,0.587499976
,33500,0.588999987
,33550,0.5898
,33600,0.585999966
,33650,0.590600014
,33700,0.588499963
,33750,0.590600014
,33800,0.589100003
,33850,0.589599967
,33900,0.588699996
,33950,0.5898
,34000,0.589599967
,34050,0.588699996
,34100,0.590699971
,34150,0.589699984
,34200,0.591399968
,34250,0.58950001
,34300,0.588400006
,34350,0.588999987
,34400,0.589699984
,34450,0.589999974
