ddd,Step,Value
,0,0.0933
,50,0.116599999
,100,0.136699989
,150,0.198200002
,200,0.157799989
,250,0.191199988
,300,0.214399993
,350,0.190399989
,400,0.195599988
,450,0.24409999
,500,0.192699999
,550,0.207599998
,600,0.250400007
,650,0.1954
,700,0.217799991
,750,0.262400001
,800,0.215599999
,850,0.228999987
,900,0.280499995
,950,0.21859999
,1000,0.239099994
,1050,0.292499989
,1100,0.240699992
,1150,0.254900008
,1200,0.308200002
,1250,0.258599997
,1300,0.257099986
,1350,0.307300001
,1400,0.2755
,1450,0.269800007
,1500,0.314999998
,1550,0.277199984
,1600,0.263699979
,1650,0.323599994
,1700,0.278200001
,1750,0.259599984
,1800,0.329699993
,1850,0.284099996
,1900,0.269899994
,1950,0.337099999
,2000,0.279399991
,2050,0.290999979
,2100,0.344500005
,2150,0.2861
,2200,0.30429998
,2250,0.340900004
,2300,0.29339999
,2350,0.3222
,2400,0.358599991
,2450,0.299699992
,2500,0.320299983
,2550,0.362399995
,2600,0.307999998
,2650,0.337099999
,2700,0.367599994
,2750,0.314500004
,2800,0.352799982
,2850,0.380299985
,2900,0.319199979
,2950,0.355199993
,3000,0.385299981
,3050,0.325299978
,3100,0.359999985
,3150,0.388799995
,3200,0.339599997
,3250,0.367399991
,3300,0.398900002
,3350,0.345699996
,3400,0.373699993
,3450,0.398399979
,3500,0.34829998
,3550,0.377000004
,3600,0.407700002
,3650,0.360300004
,3700,0.381399989
,3750,0.418799996
,3800,0.360300004
,3850,0.385600001
,3900,0.419399977
,3950,0.371399999
,4000,0.395599991
,4050,0.422899991
,4100,0.369100004
,4150,0.389099985
,4200,0.425099999
,4250,0.374300003
,4300,0.396400005
,4350,0.430399984
,4400,0.376800001
,4450,0.4023
,4500,0.430399984
,4550,0.384900004
,4600,0.408499986
,4650,0.43629998
,4700,0.382200003
,4750,0.410299987
,4800,0.437899977
,4850,0.38319999
,4900,0.411499977
,4950,0.44509998
,5000,0.391799986
,5050,0.416199982
,5100,0.44509998
,5150,0.397399992
,5200,0.415600002
,5250,0.449900001
,5300,0.389099985
,5350,0.423500001
,5400,0.4542
,5450,0.400599986
,5500,0.426499993
,5550,0.459600002
,5600,0.4023
,5650,0.431299984
,5700,0.452899992
,5750,0.403999984
,5800,0.431099981
,5850,0.460399985
,5900,0.404300004
,5950,0.4296
,6000,0.461299986
,6050,0.410999984
,6100,0.431099981
,6150,0.464999974
,6200,0.410699993
,6250,0.4384
,6300,0.466099977
,6350,0.415099978
,6400,0.433699995
,6450,0.466999978
,6500,0.424199998
,6550,0.442999989
,6600,0.473199993
,6650,0.425399989
,6700,0.445199996
,6750,0.471399993
,6800,0.429800004
,6850,0.439799994
,6900,0.476399988
,6950,0.429699987
,7000,0.441299975
,7050,0.48179999
,7100,0.430999994
,7150,0.450800002
,7200,0.486499995
,7250,0.431199998
,7300,0.452499986
,7350,0.483699977
,7400,0.444700003
,7450,0.456399977
,7500,0.4833
,7550,0.441100001
,7600,0.461499989
,7650,0.492699981
,7700,0.441199988
,7750,0.463
,7800,0.4912
,7850,0.450800002
,7900,0.463099986
,7950,0.489599973
,8000,0.451499999
,8050,0.461199999
,8100,0.497999996
,8150,0.452199996
,8200,0.463499993
,8250,0.493799984
,8300,0.451899976
,8350,0.464099973
,8400,0.492199987
,8450,0.460500002
,8500,0.466899991
,8550,0.502600014
,8600,0.466799974
,8650,0.469099998
,8700,0.498699993
,8750,0.461199999
,8800,0.469099998
,8850,0.50150001
,8900,0.462099999
,8950,0.468799978
,9000,0.506200016
,9050,0.469899982
,9100,0.477200001
,9150,0.508700013
,9200,0.466399997
,9250,0.48119998
,9300,0.511500001
,9350,0.469999999
,9400,0.479900002
,9450,0.506500006
,9500,0.47239998
,9550,0.476799995
,9600,0.509499967
,9650,0.47419998
,9700,0.479000002
,9750,0.509899974
,9800,0.477299988
,9850,0.480999976
,9900,0.514299989
,9950,0.477299988
,10000,0.481699973
,10050,0.514999986
,10100,0.4745
,10150,0.485499978
,10200,0.514199972
,10250,0.480399996
,10300,0.482799977
,10350,0.50999999
,10400,0.477099985
,10450,0.485599995
,10500,0.509000003
,10550,0.478199989
,10600,0.489099979
,10650,0.514999986
,10700,0.48269999
,10750,0.486299992
,10800,0.51849997
,10850,0.483599991
,10900,0.489099979
,10950,0.519400001
,11000,0.478100002
,11050,0.488899976
,11100,0.520599961
,11150,0.481999993
,11200,0.495899975
,11250,0.522499979
