Wall time,Step,Value
1579770009,150,0.099999994
1579770465,250,0.174699992
1579770689,300,0.159500003
1579771142,400,0.264699996
1579771597,500,0.204099998
1579771824,550,0.303499997
1579772050,600,0.24059999
1579772285,650,0.226099998
1579772514,700,0.221000001
1579772758,750,0.219899997
1579772984,800,0.270999998
1579773216,850,0.290399998
1579773445,900,0.272899985
1579773676,950,0.278499991
1579773907,1000,0.29549998
1579774365,1100,0.332199991
1579774824,1200,0.274299979
1579775050,1250,0.28579998
1579776188,1500,0.350400001
1579776416,1550,0.343099982
1579776642,1600,0.347499996
1579776874,1650,0.343199998
1579777102,1700,0.387999982
1579777565,1800,0.350499988
1579778251,1950,0.341600001
1579778479,2000,0.395500004
1579778933,2100,0.341600001
1579779161,2150,0.317699999
1579779387,2200,0.433499992
1579779616,2250,0.305099994
1579780073,2350,0.41839999
1579780528,2450,0.424400002
1579780757,2500,0.409299999
1579781441,2650,0.417799979
1579781666,2700,0.389599979
1579781894,2750,0.434699982
1579782120,2800,0.400899976
1579782349,2850,0.385499984
1579783032,3000,0.335899979
1579783260,3050,0.398699999
1579783719,3150,0.398299992
1579783950,3200,0.345099986
1579784178,3250,0.420699984
1579784405,3300,0.395999998
1579784633,3350,0.350799978
1579784857,3400,0.47329998
1579785086,3450,0.297699988
1579785543,3550,0.397599995
1579785770,3600,0.386199981
1579786002,3650,0.442599982
1579786228,3700,0.455499977
1579786685,3800,0.437700003
1579787143,3900,0.394899994
1579787371,3950,0.446099997
1579787827,4050,0.4287
1579788058,4100,0.461299986
1579788530,4200,0.42929998
1579788762,4250,0.431799978
1579788990,4300,0.481999993
1579789219,4350,0.402999997
1579789448,4400,0.461899996
1579789680,4450,0.463699996
1579790134,4550,0.414799988
1579790360,4600,0.475699991
1579790590,4650,0.421999991
1579790821,4700,0.456699997
1579791964,4950,0.472499996
1579792191,5000,0.461899996
1579792646,5100,0.414899975
1579793100,5200,0.463799983
1579793328,5250,0.41839999
1579793555,5300,0.452600002
1579794243,5450,0.490699977
1579795155,5650,0.513999999
