Wall time,Step,Value
1579500685,100,0.099999994
1579500707,120,0.101399995
1579500791,200,0.122599997
1579500814,220,0.124699995
1579500877,280,0.141099989
1579500899,300,0.1523
1579500962,360,0.161599994
1579500982,380,0.149999991
1579501001,400,0.161599994
1579501080,480,0.1105
1579501274,660,0.099999994
1579501337,720,0.107599996
1579501412,800,0.170699999
1579501446,840,0.143399999
1579501479,880,0.107499994
1579501496,900,0.12879999
1579501527,940,0.0999
1579501559,980,0.099999994
1579501619,1060,0.100199997
1579501634,1080,0.092199996
1579501648,1100,0.101199999
1579501662,1120,0.1017
1579501676,1140,0.102499999
1579501762,1260,0.111499995
1579501791,1300,0.157499999
1579501805,1320,0.162599996
1579501819,1340,0.152400002
1579501833,1360,0.163199991
1579501875,1420,0.173500001
1579501890,1440,0.173599988
1579501904,1460,0.177399993
1579501918,1480,0.151299998
1579501988,1580,0.124899998
1579502059,1680,0.14289999
1579502101,1740,0.177499995
1579502115,1760,0.179700002
1579502201,1880,0.113399997
1579502314,2040,0.101899996
1579502356,2100,0.12969999
1579502370,2120,0.137400001
1579502469,2260,0.170399994
1579502512,2320,0.199199989
1579502540,2360,0.197999999
1579502639,2500,0.139899999
1579502653,2520,0.228199989
1579502695,2580,0.199499995
1579502709,2600,0.192999989
1579502808,2740,0.132499993
1579502836,2780,0.146499991
1579502864,2820,0.19659999
1579502879,2840,0.195099995
1579502893,2860,0.191499993
1579502991,3000,0.228199989
1579503062,3100,0.102799997
1579503090,3140,0.194699988
1579503105,3160,0.206199989
1579503119,3180,0.151500002
1579503161,3240,0.146799996
1579503203,3300,0.124599993
1579503231,3340,0.109299995
1579503246,3360,0.124599993
1579503288,3420,0.133900002
1579503372,3540,0.174999997
1579503386,3560,0.190699995
1579503414,3600,0.167799994
1579503472,3660,0.17369999
1579503515,3700,0.165099993
1579503537,3720,0.188999996
1579503578,3760,0.222899988
1579503621,3800,0.224199995
1579503640,3820,0.190399989
1579503788,3960,0.111499995
1579503958,4120,0.255600005
1579503980,4140,0.254500002
1579504000,4160,0.265599996
1579504089,4240,0.236899987
1579504297,4440,0.2597
1579504318,4460,0.266499996
1579504362,4500,0.237399995
1579504402,4540,0.246999994
1579504443,4580,0.23179999
1579504506,4640,0.243000001
1579504529,4660,0.233999997
1579504549,4680,0.264599979
1579504611,4740,0.233799994
1579504822,4940,0.293599993
1579504865,4980,0.247899994
1579504991,5100,0.242299989
1579505051,5160,0.26789999
1579505069,5180,0.264200002
1579505085,5200,0.268999994
1579505102,5220,0.229800001
1579505143,5260,0.236000001
1579505227,5340,0.256300002
1579505268,5380,0.270999998
1579505309,5420,0.223299995
1579505351,5460,0.210099995
1579505446,5560,0.177999988
1579505575,5680,0.272399992
1579505722,5820,0.350999981
1579505744,5840,0.338200003
1579505846,5940,0.186499998
1579505868,5960,0.237299994
1579505914,6020,0.184299991
1579505932,6040,0.223099992
1579505952,6060,0.253600001
1579506039,6140,0.183899999
1579506059,6160,0.116499998
1579506102,6200,0.184799999
1579506167,6260,0.280499995
1579506252,6340,0.345400006
1579506274,6360,0.338499993
1579506296,6380,0.344999999
1579506317,6400,0.335099995
1579506356,6440,0.342399985
1579506416,6500,0.304699987
1579506430,6520,0.347299993
1579506448,6540,0.352699995
1579506499,6600,0.363999993
1579506560,6660,0.350499988
1579506679,6780,0.315699995
1579506716,6820,0.323499978
1579506766,6880,0.309100002
1579506782,6900,0.31279999
1579506811,6940,0.258699983
1579506825,6960,0.3134
1579506897,7060,0.368599981
1579506911,7080,0.363700002
1579506968,7160,0.331399977
1579506997,7200,0.353699982
1579507039,7260,0.2491
1579507096,7340,0.230499998
1579507152,7420,0.319900006
1579507180,7460,0.358500004
1579507237,7540,0.342599988
1579507251,7560,0.363499999
1579507265,7580,0.328099996
1579507293,7620,0.270399988
1579507366,7720,0.309499979
1579507381,7740,0.2359
1579507440,7820,0.316300005
1579507455,7840,0.269199997
1579507470,7860,0.346899986
1579507622,8060,0.303900003
1579507697,8160,0.234299988
1579507804,8300,0.261299998
1579507820,8320,0.236000001
1579507896,8420,0.3495
1579507911,8440,0.360799998
1579507942,8480,0.3838
1579507972,8520,0.390100002
1579508034,8600,0.412599981
1579508172,8780,0.436800003
1579508202,8820,0.432599992
1579508217,8840,0.433499992
1579508263,8900,0.383100003
1579508356,9020,0.231099993
1579508478,9180,0.245499998
1579508493,9200,0.273000002
1579508508,9220,0.315200001
1579508539,9260,0.309199989
1579508554,9280,0.343699992
1579508600,9340,0.357199997
1579508615,9360,0.381300002
1579508691,9460,0.433799982
1579508706,9480,0.402199984
1579508868,9700,0.388599992
1579508914,9760,0.331900001
1579508930,9780,0.3037
1579508958,9820,0.251199991
1579508986,9860,0.17899999
1579509028,9920,0.292400002
1579509189,10140,0.443999976
1579509250,10220,0.444899976
1579509265,10240,0.451700002
1579509297,10280,0.450499982
1579509343,10340,0.443299979
1579509374,10380,0.451499999
1579509451,10480,0.327199996
1579509467,10500,0.368900001
1579509560,10620,0.297299981
1579509591,10660,0.330300003
1579509607,10680,0.298899978
1579509622,10700,0.314799994
1579509638,10720,0.371899992
1579509654,10740,0.379700005
1579509669,10760,0.366899997
1579509700,10800,0.424799979
