walltime,step,value
,0,0.099999994
,50,0.100400001
,100,0.163000003
,150,0.179899991
,200,0.215599999
,250,0.241299987
,300,0.194699988
,350,0.207699999
,400,0.240799993
,450,0.246299997
,500,0.21769999
,550,0.252000004
,600,0.253100008
,650,0.266200006
,700,0.310900003
,750,0.222800002
,800,0.307699978
,850,0.30219999
,900,0.296999991
,950,0.201799989
,950,0.188799992
,1000,0.315400004
,1050,0.324099988
,1100,0.263300002
,1150,0.343999982
,1200,0.315400004
,1250,0.26879999
,1300,0.357799977
,1350,0.283600003
,1400,0.286199987
,1450,0.375699997
,1500,0.326599985
,1550,0.272599995
,1600,0.368399978
,1650,0.371800005
,1700,0.246699989
,1750,0.362399995
,1800,0.373899996
,1850,0.270300001
,1900,0.361099988
,1950,0.367799997
,2000,0.255699992
,2050,0.357199997
,2100,0.402799994
,2150,0.304499984
,2200,0.398000002
,2250,0.318499982
,2300,0.410699993
,2350,0.431299984
,2400,0.340299994
,2450,0.375699997
,2500,0.40959999
,2550,0.368499994
,2600,0.406099975
,2650,0.340199977
,2700,0.387799978
,2750,0.426799983
,2800,0.432300001
,2850,0.332800001
,2900,0.386399984
,2950,0.416500002
,3000,0.410699993
,3050,0.430500001
,3100,0.463099986
,3150,0.309899986
,3200,0.40959999
,3250,0.463799983
,3300,0.333499998
,3350,0.398999989
,3400,0.457099974
,3450,0.457199991
,3500,0.458299994
,3550,0.475499988
,3600,0.37529999
,3650,0.415199995
,3700,0.460999995
,3750,0.359099984
,3800,0.460299999
,3850,0.433200002
,3900,0.396299988
,3950,0.463200003
,4000,0.482499987
,4050,0.401600003
,4100,0.465799987
,4150,0.4815
,4200,0.348099977
,4250,0.436999977
,4300,0.451799989
,4350,0.395899981
,4400,0.434299976
,4450,0.4912
,4500,0.382699996
,4550,0.45569998
,4600,0.493199974
,4650,0.377700001
,4700,0.442399979
,4750,0.465499997
,4800,0.483899981
,4850,0.412299991
,4900,0.477399975
,4950,0.370599985
,5000,0.398199975
,5050,0.474999994
,5100,0.418499976
,5150,0.476199985
,5200,0.462499976
,5250,0.440799981
,5300,0.482899994
,5350,0.505899966
,5400,0.358699977
,5450,0.441399992
,5500,0.485100001
,5550,0.387999982
,5600,0.474399984
,5650,0.469599992
,5700,0.434399992
,5750,0.402999997
,5800,0.473199993
,5850,0.431099981
,5900,0.457199991
,5950,0.495099992
,6000,0.428599983
,6050,0.451899976
,6100,0.481699973
,6150,0.446799994
,6200,0.443999976
,6250,0.501599967
,6300,0.431299984
,6350,0.434199989
,6400,0.502900004
,6450,0.386099994
,6500,0.467399985
,6550,0.517199993
,6600,0.410999984
,6650,0.427299976
,6700,0.495199978
,6750,0.389899999
,6800,0.518299997
,6850,0.508599997
,6900,0.460899979
,6950,0.455300003
,7000,0.494399995
,7050,0.373199999
,7100,0.466299981
,7150,0.510299981
,7200,0.413199991
,7250,0.458399981
,7300,0.520799994
,7350,0.449000001
,7400,0.43719998
,7450,0.519499958
,7500,0.400700003
,7550,0.469999999
,7600,0.522399962
,7650,0.438600004
,7700,0.426200002
,7750,0.530999959
,7800,0.48299998
,7850,0.419099987
,7900,0.520200014
,7950,0.432199985
,8000,0.512499988
,8050,0.526300013
,8100,0.437299997
,8150,0.488899976
,8200,0.515999973
,8250,0.449699998
,8300,0.487899989
,8350,0.493499994
,8400,0.439499974
,8450,0.480499983
,8500,0.527700007
,8550,0.402199984
,8600,0.473999977
,8650,0.5255
,8700,0.435099989
,8750,0.471599996
,8800,0.540499985
,8850,0.426699996
