Wall time,Step,Value
1578408537,0,0.1031
1578408607,24,0.343099982
1578408834,42,0.441199988
1578408871,45,0.443299979
1578409006,56,0.469199985
1578409184,71,0.496499985
1578409218,74,0.511599958
1578409443,94,0.532700002
1578410100,155,0.594299972
1578410132,158,0.601300001
1578410226,167,0.600199997
1578410391,183,0.598800004
1578410412,185,0.61619997
1578410868,229,0.630999982
1578410919,234,0.631199956
1578411134,255,0.641299963
1578411184,260,0.645299971
1578411255,267,0.640699983
1578411314,273,0.646799982
1578411671,308,0.643700004
1578411690,310,0.648000002
1578411769,318,0.640299976
1578411971,339,0.653199971
1578412047,347,0.644999981
1578412237,367,0.64319998
1578412749,421,0.653599977
1578412759,422,0.647199988
1578412945,442,0.649299979
1578412972,445,0.643700004
1578413114,460,0.640399992
1578413141,463,0.644599974
1578413150,464,0.647399962
1578413242,474,0.648499966
1578413408,493,0.642699957
1578413592,514,0.632699966
1578413783,536,0.640299976
1578414014,563,0.634599984
1578414098,573,0.641099989
1578414150,579,0.626999974
1578414209,586,0.635199964
1578414218,587,0.642199993
1578414496,620,0.6329
1578414513,622,0.630899966
1578414615,634,0.636299968
1578414674,641,0.638899982
1578414683,642,0.635599971
1578414700,644,0.638700008
1578414725,647,0.631999969
1578414741,649,0.635899961
1578414843,661,0.63229996
1578414929,671,0.63319999
1578415292,714,0.634000003
1578415360,722,0.628399968
1578415429,730,0.627099991
1578415613,752,0.628699958
1578415646,756,0.627299964
1578415720,765,0.62409997
1578415752,769,0.625
1578415769,771,0.622399986
1578415842,780,0.623199999
1578415883,785,0.624499977
1578415899,787,0.627200007
1578415940,792,0.627200007
1578415956,794,0.627099991
1578415988,798,0.627200007
1578416020,802,0.616400003
1578416069,808,0.628300011
1578416077,809,0.624199986
1578416268,832,0.627200007
1578416300,836,0.620899975
1578416567,869,0.617399991
1578416623,876,0.622900009
1578416670,882,0.62409997
1578416869,907,0.617399991
1578416885,909,0.612699986
1578416949,917,0.620000005
1578417063,931,0.621999979
1578417152,942,0.616699994
1578417177,945,0.624199986
1578417250,954,0.61649996
1578417314,962,0.613900006
1578417387,971,0.620499969
1578417395,972,0.617299974
1578417443,978,0.611099958
1578417451,979,0.615099967
1578417491,984,0.613399982
1578417636,1002,0.616599977
1578417660,1005,0.610899985
1578417732,1014,0.618699968
1578418075,1057,0.612800002
1578418123,1063,0.616100013
1578418147,1066,0.615399957
1578418163,1068,0.618299961
1578418195,1072,0.617699981
1578418243,1078,0.611499965
1578418282,1083,0.617399991
1578418361,1093,0.606700003
1578418409,1099,0.619499981
1578418448,1104,0.611699998
1578418527,1114,0.613200009
1578418858,1156,0.61469996
1578418889,1160,0.612800002
1578418897,1161,0.615999997
1578418905,1162,0.61439997
1578419046,1180,0.610499978
1578419149,1193,0.61619997
1578419251,1206,0.610199988
1578419546,1244,0.611699998
1578419631,1255,0.61559999
1578419655,1258,0.612800002
1578419678,1261,0.608399987
1578419833,1281,0.611799955
1578419880,1287,0.603100002
1578419935,1294,0.602400005
1578419982,1300,0.603100002
1578420106,1316,0.611999989
1578420130,1319,0.606899977
1578420214,1330,0.600499988
1578420237,1333,0.606999993
1578420261,1336,0.606599987
1578420268,1337,0.610300004
1578420637,1385,0.611699998
1578420659,1388,0.606400013
1578420682,1391,0.611099958
1578420690,1392,0.607599974
1578420858,1414,0.606700003
1578420951,1426,0.613399982
1578421027,1436,0.598699987
1578421058,1440,0.606099963
1578421250,1465,0.610399961
1578421257,1466,0.603699982
1578421341,1477,0.608699977
1578421402,1485,0.614199996
1578421448,1491,0.614899993
1578421694,1523,0.618200004
1578421725,1527,0.617900014
1578421917,1552,0.618499994
1578422039,1568,0.617799997
1578422047,1569,0.618999958
1578422162,1584,0.618200004
1578422192,1588,0.618699968
1578422315,1604,0.619199991
1578422323,1605,0.619499981
1578422491,1627,0.618900001
1578422567,1637,0.618699968
1578422590,1640,0.618200004
1578422628,1645,0.617999971
1578422651,1648,0.618499994
1578422804,1668,0.617799997
1578422912,1682,0.617799997
1578422981,1691,0.617799997
1578423011,1695,0.618799984
1578423026,1697,0.617900014
1578423042,1699,0.617999971
1578423065,1702,0.617299974
1578423119,1709,0.619099975
1578423188,1718,0.618399978
1578423295,1732,0.619199991
1578423311,1734,0.617699981
1578423334,1737,0.619199991
1578423371,1742,0.618099988
1578423394,1745,0.617599964
1578423402,1746,0.617599964
1578423555,1766,0.617900014
1578423624,1775,0.618099988
1578423670,1781,0.617399991
1578423724,1788,0.618299961
1578423732,1789,0.617699981
1578423801,1798,0.617900014
1578423854,1805,0.617500007
1578424015,1826,0.617599964
1578424045,1830,0.618099988
1578424121,1840,0.617699981
1578424152,1844,0.617699981
1578424221,1853,0.617299974
1578424321,1866,0.6171
1578424344,1869,0.617599964
1578424390,1875,0.618499994
1578424404,1877,0.617900014
1578424665,1911,0.617199957
1578424711,1917,0.617699981
1578424841,1934,0.616899967
1578424918,1944,0.6171
1578424941,1947,0.617599964
1578424956,1949,0.61680001
1578425095,1967,0.616899967
1578425203,1981,0.61589998
1578425219,1983,0.616299987
1578425356,2001,0.616299987
1578425387,2005,0.617199957
1578425449,2013,0.616699994
1578425579,2030,0.616400003
1578425625,2036,0.61649996
1578425809,2060,0.616100013
1578425909,2073,0.615799963
1578425932,2076,0.616100013
1578425940,2077,0.61619997
1578425970,2081,0.615999997
1578426001,2085,0.61649996
1578426031,2089,0.61680001
1578426085,2096,0.6171
1578426200,2111,0.61680001
1578426462,2145,0.616699994
1578426493,2149,0.616100013
1578426546,2156,0.616999984
1578426615,2165,0.616299987
1578426784,2187,0.615999997
1578426799,2189,0.616599977
1578426815,2191,0.61619997
1578426853,2196,0.616999984
1578426876,2199,0.616699994
1578426937,2207,0.616400003
1578426967,2211,0.616299987
1578427120,2231,0.616400003
1578427158,2236,0.61680001
1578427166,2237,0.616299987
1578427181,2239,0.61589998
1578427204,2242,0.61619997
1578427235,2246,0.616699994
1578427242,2247,0.61619997
1578427296,2254,0.616599977
1578427319,2257,0.61559999
1578427357,2262,0.615799963
1578427503,2281,0.616400003
1578427579,2291,0.615700006
1578427625,2297,0.616400003
1578427672,2303,0.616299987
1578427703,2307,0.61589998
1578427796,2319,0.61559999
1578427803,2320,0.616100013
1578427996,2345,0.615700006
1578428066,2354,0.616100013
1578428334,2389,0.615799963
1578428341,2390,0.615399957
1578428356,2392,0.616100013
1578428695,2436,0.615399957
1578428757,2444,0.616400003
1578428811,2451,0.61559999
1578428826,2453,0.615099967
1578428841,2455,0.61589998
1578428880,2460,0.61589998
1578429072,2485,0.616100013
1578429079,2486,0.615799963
1578429156,2496,0.616100013
1578429171,2498,0.615799963
1578429210,2503,0.616299987
1578429317,2517,0.61619997
